Serial Code Book Title                                        Genre               
GOLDM24F001 1984                                              Fiction             
GOLDM24F002 Anna Karenina                                     Fiction             
GOLDM24F003 Atonement                                         Fiction             
GOLDM24F004 Beloved                                           Fiction             
GOLDM24F005 Brave New World                                   Fiction             
GOLDM24F006 Catch-22                                          Fiction             
GOLDM24F007 Crime and Punishment                              Fiction             
GOLDM24F008 Dracula                                           Fiction             
GOLDM24F009 East of Eden                                      Fiction             
GOLDM24F010 Fahrenheit 451                                    Fiction             
GOLDM24F011 Gone with the Wind                                Fiction             
GOLDM24F012 Great Expectations                                Fiction             
GOLDM24F013 Jane Eyre                                         Fiction             
GOLDM24F014 Les Misérables                                    Fiction             
GOLDM24F015 Life of Pi                                        Fiction             
GOLDM24F016 Lolita                                            Fiction             
GOLDM24F017 Middlemarch                                       Fiction             
GOLDM24F018 Moby Dick                                         Fiction             
GOLDM24F019 One Hundred Years of Solitude                     Fiction             
GOLDM24F020 Pride and Prejudice                               Fiction             
GOLDM24F021 Rebecca                                           Fiction             
GOLDM24F022 Slaughterhouse-Five                               Fiction             
GOLDM24F023 The Alchemist                                     Fiction             
GOLDM24F024 The Book Thief                                    Fiction             
GOLDM24F025 The Brothers Karamazov                            Fiction             
GOLDM24F026 The Catch-22                                      Fiction             
GOLDM24F027 The Catcher in the Rye                            Fiction             
GOLDM24F028 The Great Gatsby                                  Fiction             
GOLDM24F029 The Hobbit                                        Fiction             
GOLDM24F030 The Kite Runner                                   Fiction             
GOLDM24F031 The Lord of the Rings                             Fiction             
GOLDM24F032 The Lovely Bones                                  Fiction             
GOLDM24F033 The Night Circus                                  Fiction             
GOLDM24F034 The Odyssey                                       Fiction             
GOLDM24F035 The Picture of Dorian Gray                        Fiction             
GOLDM24F036 The Road                                          Fiction             
GOLDM24F037 The Sun Also Rises                                Fiction             
GOLDM24F038 To Kill a Mockingbird                             Fiction             
GOLDM24F039 War and Peace                                     Fiction             
GOLDM24F040 Wuthering Heights                                 Fiction             
